title,release_date,popularity,original_language,overview,genre_ids,adult,pathPoster
The Frighteners,1996-07-18,15.559,en,"Once an architect, Frank Bannister now passes himself off as an exorcist of evil spirits. To bolster his facade, he claims his ""special"" gift is the result of a car accident that killed his wife. But what he does not count on is more people dying in the small town where he lives. As he tries to piece together the supernatural mystery of these killings, he falls in love with the wife of one of the victims and deals with a crazy FBI agent.","[27, 35]",False,./posters/The_Frighteners_1996.jpg
The Woodsman,2004-12-24,7.206,en,"After twelve years in prison, Walter returns home. His family has abandoned him, save for his brother-in-law. Few know he's a sex offender and pedophile. Walter finds an apartment and is regularly visited by his parole officer. He gets a job at a lumber mill and starts seeing a coworker. Then his new world begins to unravel; as his past becomes known, he strikes up a high-risk friendship with a young girl and realizes that a man loitering near a schoolyard is a child molester prowling for his next victim.","[18, 80]",False,./posters/The_Woodsman_2004.jpg
Tangerine,2015-07-10,11.992,en,"It's Christmas Eve in Tinseltown and Sin-Dee is back on the block. Upon hearing that her pimp boyfriend hasn't been faithful during the 28 days she was locked up, the working girl and her best friend, Alexandra, embark on a mission to get to the bottom of the scandalous rumor. Their rip-roaring odyssey leads them through various subcultures of Los Angeles, including an Armenian family dealing with their own repercussions of infidelity.","[35, 18]",False,./posters/Tangerine_2015.jpg
"Two Days, One Night",2014-05-21,9.978,fr,Sandra is a young woman who has only one weekend to convince her colleagues they must give up their bonuses in order for her to keep her job — not an easy task in this economy.,[18],False,"./posters/Two_Days,_One_Night_2014.jpg"
The Sessions,2012-05-02,12.844,en,"Though a childhood bout with polio left him dependent on an iron lung, Mark O'Brien maintains a career as a journalist and poet. A writing assignment dealing with sex and the disabled piques Mark's curiosity, and he decides to investigate the possibility of experiencing sex himself. When his overtures toward a caregiver scare her away, he books an appointment with sex surrogate Cheryl Cohen-Greene to lose his virginity.","[18, 10749, 35]",False,./posters/The_Sessions_2012.jpg
Clash of the Titans,1981-06-12,25.459,en,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, half-God-half-mortal Perseus must complete various tasks including taming Pegasus, capturing Medusa's head and battling the feared Kraken.","[12, 14]",False,./posters/Clash_of_the_Titans_1981.jpg
Clerks II,2006-07-21,11.639,en,"A calamity at Dante and Randall's shops sends them looking for new horizons - but they ultimately settle at Mooby's, a fictional Disney-McDonald's-style fast-food empire.",[35],False,./posters/Clerks_II_2006.jpg
In the Fade,2017-11-23,10.252,de,"Katja's life collapses after the deaths of her husband and son in a bomb attack. After a time of mourning and injustice, Katja seeks revenge.","[18, 80]",False,./posters/In_the_Fade_2017.jpg
Winnie the Pooh,2011-04-06,18.247,en,"During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Owl convinces Pooh, Tigger, Rabbit, Piglet, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to rescue him.","[16, 10751, 35, 12]",False,./posters/Winnie_the_Pooh_2011.jpg
Career Opportunities,1991-03-29,21.877,en,"Josie, the daughter of the town's wealthiest businessman, faces problems at home and wishes to leave town but is disoriented. Her decision is finalized after she falls asleep in a Target dressing room. She awakens to find herself locked in the store overnight with the janitor, Jim, the town ""no hoper"" and liar.","[10749, 35]",False,./posters/Career_Opportunities_1991.jpg
Mike's New Car,2002-05-24,13.601,en,"Mike discovers that being the top-ranking laugh collector at Monsters, Inc. has its benefits – in particular, earning enough money to buy a six-wheel-drive car that's loaded with gadgets. That new-car smell doesn't last long enough, however, as Sulley jump-starts an ill-fated road test that teaches Mike the true meaning of buyer's remorse.","[16, 35, 10751, 14]",False,./posters/Mike's_New_Car_2002.jpg
The Jerk,1979-12-14,11.026,en,"After discovering he's not really black like the rest of his family, likable dimwit Navin Johnson sets off on a hilarious misadventure that takes him from rags to riches and back again. The slaphappy jerk strikes it rich, but life in the fast lane isn't all it's cracked up to be and, in the end, all that really matters to Johnson is his true love.",[35],False,./posters/The_Jerk_1979.jpg
Evil Under the Sun,1982-03-05,12.249,en,An opulent beach resort provides a scenic background to this amusing whodunit as Poirot attempts to uncover the nefarious evildoer behind the strangling of a notorious stage star.,"[53, 80, 9648, 18]",False,./posters/Evil_Under_the_Sun_1982.jpg
In the Bedroom,2001-11-23,12.338,en,"Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. His son is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy.","[18, 53]",False,./posters/In_the_Bedroom_2001.jpg
Three Thousand Years of Longing,2022-08-24,27.446,en,"A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories.","[18, 14, 10749]",False,./posters/Three_Thousand_Years_of_Longing_2022.jpg
Underdogs,2013-07-18,24.201,es,"All seems well for Amadeo, a shy but talented foosball player who's in love with the free-spirited Laura. Trouble strikes when Grosso, the world's best soccer player, returns home with plans to destroy the village and turn it into a new sports stadium. When Grosso kidnaps Laura, Amadeo receives the ultimate surprise when the figurines from his foosball table spring to life to help him save his beloved and reclaim the town.","[16, 12, 10749]",False,./posters/Underdogs_2013.jpg
Twisters,2024-07-10,114.173,en,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.","[28, 53]",False,./posters/Twisters_2024.jpg
Spirited,2022-11-10,15.969,en,"Each Christmas Eve, the Ghost of Christmas Present selects one dark soul to be reformed by a visit from three spirits. But this season, he picked the wrong Scrooge. Clint Briggs turns the tables on his ghostly host until Present finds himself reexamining his own past, present and future.",[35],False,./posters/Spirited_2022.jpg
Hunter Killer,2018-10-19,23.725,en,"Captain Glass of the USS Arkansas discovers that a coup d'état is taking place in Russia, so he and his crew join an elite group working on the ground to prevent a war.","[28, 12, 53]",False,./posters/Hunter_Killer_2018.jpg
The Hitman's Bodyguard,2017-08-16,38.841,en,"The world’s top bodyguard gets a new client, a hitman who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time.","[28, 35, 80, 53]",False,./posters/The_Hitman's_Bodyguard_2017.jpg
The Decameron,1971-08-25,8.177,it,"A young Sicilian is swindled twice, but ends up rich; a man poses as a deaf-mute in a convent of curious nuns; a woman must hide her lover when her husband comes home early; a scoundrel fools a priest on his deathbed; three brothers take revenge on their sister's lover; a young girl sleeps on the roof to meet her boyfriend at night; a group of painters wait for inspiration; a crafty priest attempts to seduce his friend's wife; and two friends make a pact to find out what happens after death.","[36, 18, 35]",False,./posters/The_Decameron_1971.jpg
Independence Day,1996-06-25,42.195,en,"Strange phenomena surface around the globe. The skies ignite. Terror races through the world's major cities. As these extraordinary events unfold, it becomes increasingly clear that a force of incredible magnitude has arrived. Its mission: total annihilation over the Fourth of July weekend. The last hope to stop the destruction is an unlikely group of people united by fate and unimaginable circumstances.","[28, 12, 878]",False,./posters/Independence_Day_1996.jpg
The Horse Whisperer,1998-02-01,18.076,en,The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.,"[12, 18, 10749]",False,./posters/The_Horse_Whisperer_1998.jpg
Metal Lords,2022-04-08,10.681,en,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.","[35, 18, 10402]",False,./posters/Metal_Lords_2022.jpg
Bruised,2020-09-12,8.248,en,"Jackie Justice is a mixed martial arts fighter who leaves the sport in disgrace. Down on her luck and simmering with rage and regret years after the fight, she's coaxed into a brutal underground fight by her manager and boyfriend Desi and grabs the attention of a fight league promoter who promises Jackie a life back in the Octagon. But the road to redemption becomes unexpectedly personal when Manny - the son she gave up as an infant - shows up at her doorstep. A triumphant story of a fighter who reclaims her power, in and out of the ring, when everyone has counted her out",[18],False,./posters/Bruised_2020.jpg
Rocky III,1982-05-28,36.091,en,"After an intense fight with Clubber Lang and the death of his trainer Mickey, Rocky Balboa is left devastated. Former rival Apollo Creed steps in to help Balboa get back his fighting spirit.",[18],False,./posters/Rocky_III_1982.jpg
Women Talking,2022-12-23,11.703,en,A group of women in an isolated religious colony struggle to reconcile their faith with a series of sexual assaults committed by the colony's men.,[18],False,./posters/Women_Talking_2022.jpg
The Kissing Booth 3,2021-08-11,26.58,en,"It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.","[10749, 35]",False,./posters/The_Kissing_Booth_3_2021.jpg
Flash Point,2007-07-26,11.268,cn,"Detective Sergeant Ma Jun, known for dispensing his own brand of justice during arrests, teams up with an undercover cop, Wilson, to try and bring down three merciless Vietnamese brothers running a smuggling ring in the months before mainland China's takeover of Hong Kong. Jun pursues the gang tirelessly, sometimes ignoring police protocols. A showdown is inevitable!",[28],False,./posters/Flash_Point_2007.jpg
The Hidden,1987-10-30,14.687,en,"When average, law-abiding citizens suddenly turn to a life of hedonistic behavior and violent crime, Detective Tom Beck is tasked with helping young FBI agent Lloyd Gallagher determine the cause.","[878, 53, 28, 27]",False,./posters/The_Hidden_1987.jpg
Fearless,1993-10-15,8.803,en,"After a terrible air disaster, survivor Max Klein emerges a changed person. Unable to connect to his former life or to wife Laura, he feels godlike and invulnerable. When psychologist Bill Perlman is unable to help Max, he has Max meet another survivor, Carla Rodrigo, who is wracked with grief and guilt since her baby died in the crash which she and Max survived.",[18],False,./posters/Fearless_1993.jpg
8 Women,2002-02-06,8.648,fr,"Eight women gather to celebrate Christmas in a snowbound cottage, only to find the family patriarch dead with a knife in his back. Trapped in the house, every woman becomes a suspect, each having her own motive and secret.","[35, 53, 9648]",False,./posters/8_Women_2002.jpg
GoldenEye,1995-11-16,32.736,en,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.","[12, 28, 53]",False,./posters/GoldenEye_1995.jpg
Invasion,2020-02-27,29.655,ru,"Two years after the fall of the alien ship, the life of a young woman from Moscow has been changed forever. Her growing powers are now at the focus of both human and celestial investigation: an alien force takes an interest in her, and will stop short of nothing, including an invasion. Can love and compassion save humanity, when faced with a much greater and more demanding test this time?","[878, 18, 28]",False,./posters/Invasion_2020.jpg
The Natural,1984-05-11,15.141,en,An unknown middle-aged batter named Roy Hobbs with a mysterious past appears out of nowhere to take a losing 1930s baseball team to the top of the league.,[18],False,./posters/The_Natural_1984.jpg
The Sweet Hereafter,1997-09-25,7.647,en,"A small mountain community in Canada is devastated when a school bus accident leaves more than a dozen of its children dead. A big-city lawyer arrives to help the survivors' and victims' families prepare a class-action suit, but his efforts only seem to push the townspeople further apart. At the same time, one teenage survivor of the accident has to reckon with the loss of innocence brought about by a different kind of damage.",[18],False,./posters/The_Sweet_Hereafter_1997.jpg
Look Both Ways,2022-08-16,15.265,en,"On the night of her college graduation, Natalie's life splits into parallel realities after she takes a pregnancy test. What will life and love bring?","[10749, 18, 35]",False,./posters/Look_Both_Ways_2022.jpg
School Life,2019-08-28,11.739,fr,"In one of the poorest areas of Paris, a school counselor devotes herself to working with disadvantaged students, while facing challenges of her own.","[18, 35]",False,./posters/School_Life_2019.jpg
How to Be a Latin Lover,2017-03-06,17.841,en,An aging Latin lover gets dumped by his sugar mama and must fend for himself in a harsh world.,[35],False,./posters/How_to_Be_a_Latin_Lover_2017.jpg
A Perfect Man,2015-03-18,6.467,fr,"A struggling writer finds a shortcut to fame, but a blackmailer threatens to ruin his perfect life.","[18, 53]",False,./posters/A_Perfect_Man_2015.jpg
Looper,2012-09-26,34.403,en,"In the year 2044, time travel has not yet been invented but in 30 years it will have been. When the mob wants to get rid of someone, they will send their target into the past where a looper, a hired gun, like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop, sending back Joe's future self for assassination.","[28, 53, 878]",False,./posters/Looper_2012.jpg
Frequently Asked Questions About Time Travel,2009-04-24,6.897,en,Follows three social outcasts -- two geeks and a cynic -- as they attempt to navigate a time-travel conundrum in the middle of a British pub.,"[35, 18, 10749, 878]",False,./posters/Frequently_Asked_Questions_About_Time_Travel_2009.jpg
Escape to Victory,1981-06-17,13.956,en,A group of POWs in a German prison camp during World War II play the German National Soccer Team in this powerful film depicting the role of prisoners during wartime.,"[18, 10752]",False,./posters/Escape_to_Victory_1981.jpg
Breakdown,1997-05-02,19.085,en,"On their cross-country drive, a married couple, Jeff and Amy Taylor, experience car trouble after their SUV breaks down. Stranded in the New Mexico desert, the two catch a break when a passing truck driver offers Amy a ride to a nearby café to call for help. Meanwhile, Jeff is able to fix the car and make his way to the café, but Amy isn't there. He tracks down the trucker -- who tells the police he's never seen Jeff or his wife before. Jeff then begins a desperate, frenzied search for Amy.","[80, 9648, 53]",False,./posters/Breakdown_1997.jpg
To Catch a Killer,2023-04-06,24.288,en,Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,"[53, 80, 18]",False,./posters/To_Catch_a_Killer_2023.jpg
Cloud Atlas,2012-10-26,25.878,en,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.","[18, 878]",False,./posters/Cloud_Atlas_2012.jpg
Leap Year,2010-01-08,25.947,en,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.","[10749, 35]",False,./posters/Leap_Year_2010.jpg
Disobedience,2018-04-24,32.859,en,"A woman learns about the death of her Orthodox Jewish father, a rabbi. She returns home and has romantic feelings rekindled for her best childhood friend, who is now married to her cousin.","[18, 10749]",False,./posters/Disobedience_2018.jpg
Orlando,1992-12-11,10.684,en,"England, 1600. Queen Elizabeth I promises Orlando, a young nobleman obsessed with poetry, that she will grant him land and fortune if he agrees to satisfy a very particular request.","[18, 14]",False,./posters/Orlando_1992.jpg
Hellraiser,1987-09-11,22.594,en,"Hedonist Frank Cotton finds a mysterious puzzle box that summons the Cenobites, who open the doors to a dominion where pain and pleasure are indivisible.","[27, 53, 14]",False,./posters/Hellraiser_1987.jpg
King Kong,2005-12-12,45.762,en,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","[12, 18, 28]",False,./posters/King_Kong_2005.jpg
Black Adam,2022-10-19,48.552,en,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.","[28, 12, 878]",False,./posters/Black_Adam_2022.jpg
The Corpse of Anna Fritz,2015-03-15,64.881,es,"Anna Fritz is a beautiful and famous actress. Suddenly her body is found in a hotel and the news of her death goes around the planet. The young, shy caretaker Pau works at the hospital where they carried the body of Anna Fritz. He and his friends  decide to take pictures of the body of Anna Fritz.  They decide they could make love to her and nobody would know. They are in front of Anna Fritz ... and can do with it what  they want.","[18, 53]",False,./posters/The_Corpse_of_Anna_Fritz_2015.jpg
Cloud 9,2014-01-17,10.258,en,"Set high atop snow-capped mountains in the adrenaline-fueled world of competitive snowboarding, the Disney Channel Original Movie “Cloud 9″ tells the inspiring story of two snowboarders who must overcome self-doubt to learn that achieving their dreams is possible.","[28, 18, 10749, 10751, 10770]",False,./posters/Cloud_9_2014.jpg
Teen Beach Movie,2013-08-07,19.436,en,"Life's a beach for surfers Brady and McKenzie – until a rogue wave magically transports them inside the classic '60s beach party flick, ""Wet Side Story,"" where a full-blown rivalry between bikers and surfers threatens to erupt. There, amidst a sea of surfing, singing and dancing, Brady and Mack accidentally change the storyline, and the film’s dreamy hero and heroine fall for them instead of for each other!","[10751, 10402, 10770, 35]",False,./posters/Teen_Beach_Movie_2013.jpg
A Christmas Carol,2009-11-04,29.32,en,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.","[16, 10751, 14]",False,./posters/A_Christmas_Carol_2009.jpg
A Perfect Pairing,2022-05-19,10.765,en,"To land a major client, an LA wine exec travels to an Australian sheep station, where she signs on as a ranch hand and hits it off with a rugged local.","[35, 10749]",False,./posters/A_Perfect_Pairing_2022.jpg
The Good Nurse,2022-10-19,14.952,en,"Suspicious that her colleague is responsible for a series of mysterious patient deaths, a nurse risks her own life to uncover the truth.","[18, 80, 9648]",False,./posters/The_Good_Nurse_2022.jpg
Resident Evil: Damnation,2012-09-25,27.779,ja,"U.S. federal agent Leon S. Kennedy sneaks into the ""East Slavic Republic"" to verify rumors that Bio-Organic Weapons (BOWs) are being used in the country's civil war, which the U.S. and Russia are making preparations to jointly intervene in. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the BOWs.","[16, 27, 28]",False,./posters/Resident_Evil:_Damnation_2012.jpg
The War of the Roses,1989-12-08,11.377,en,"The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.","[35, 18, 27]",False,./posters/The_War_of_the_Roses_1989.jpg
A Monster in Paris,2011-10-12,19.609,fr,"Paris, 1910. Emile, a shy movie projectionist, and Raoul, a colourful inventor, find themselves embarked on the hunt for a monster terrorizing citizens. They join forces with Lucille, the big-hearted star of the Bird of Paradise cabaret, an eccentric scientist and his irascible monkey to save the monster, who turns out to be an oversized but harmless flea, from the city's ruthlessly ambitious police chief.","[12, 16, 35, 10751, 14]",False,./posters/A_Monster_in_Paris_2011.jpg
Ginger Snaps,2000-12-11,9.691,en,"The story of two outcast sisters, Ginger and Brigitte, in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself.","[14, 27]",False,./posters/Ginger_Snaps_2000.jpg
36th Precinct,2004-11-24,8.602,fr,"The film takes place in Paris, where two cops are competing for the vacant seat of chief of police while in the middle of a search for a gang of violent thieves. The movie is directed by Olivier Marchal, a former police officer who spent 12 years with the French police before creating this story, which is taken in part from real facts that happened during the 1980s in France.","[80, 18, 53]",False,./posters/36th_Precinct_2004.jpg
Kiss of the Dragon,2001-07-06,27.032,en,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.","[28, 80, 53]",False,./posters/Kiss_of_the_Dragon_2001.jpg
Those People,2015-05-16,5.936,en,"On Manhattan's gilded Upper East Side, a young gay painter is torn between an obsession with his infamous best friend and a promising new romance with an older foreign pianist.","[18, 10749]",False,./posters/Those_People_2015.jpg
Hidalgo,2004-02-04,15.613,en,"Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...","[37, 12]",False,./posters/Hidalgo_2004.jpg
Strangeness,2022-10-27,5.365,it,"During a trip to Sicily in 1920, Luigi Pirandello meets two gravediggers-turned-playwrights rehearsing a play with their amateur dramatics. Pirandello takes an interest in the odd couple, having been suffering from writer's block while working on his eventual masterpiece, Six Characters in Search of an Author.","[35, 36, 18]",False,./posters/Strangeness_2022.jpg
Best in Show,2000-09-29,13.259,en,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them.",[35],False,./posters/Best_in_Show_2000.jpg
Coming to America,1988-06-29,35.593,en,"An African prince decides it’s time for him to find a princess... and his mission leads him and his most loyal friend to Queens, New York. In disguise as an impoverished immigrant, the pampered prince quickly finds himself a new job, new friends, new digs, new enemies and lots of trouble.","[35, 10749]",False,./posters/Coming_to_America_1988.jpg
Maverick,1994-05-20,15.126,en,"Maverick is a gambler who would rather con someone than fight them, and needs an additional three thousand dollars in order to enter a winner-takes-all poker game that begins in a few days, so he joins forces with a woman gambler with a marvellous southern accent, and the two try and enter the game.","[28, 12, 35, 18, 37]",False,./posters/Maverick_1994.jpg
American Made,2017-08-18,21.538,en,"The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s.","[35, 80, 18]",False,./posters/American_Made_2017.jpg
Aquaman,2018-12-07,36.523,en,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.","[28, 12, 14]",False,./posters/Aquaman_2018.jpg
Gramps Is in the Resistance,1983-10-26,7.709,fr,"It is 1943 in Paris. Like so many others, the Bourbelle family's home has been taken over by the Germans and they now live in their cellar. Little do they know that the son, Guy-Hubert Bourdelle, is far from being the cowardly hairdresser he pretends. He is in truth the Germans’ most feared opponent: le super-résistant!","[35, 10752]",False,./posters/Gramps_Is_in_the_Resistance_1983.jpg
Three Little Pigs,1933-05-27,10.288,en,"The two pigs building houses of hay and sticks scoff at their brother, building the brick house. But when the wolf comes around and blows their houses down (after trickery like dressing as a foundling sheep fails), they run to their brother's house. And throughout, they sing the classic song, ""Who's Afraid of the Big Bad Wolf?"".","[10402, 16, 35, 10751]",False,./posters/Three_Little_Pigs_1933.jpg
Saboteur,1942-04-24,9.946,en,Aircraft factory worker Barry Kane flees across the United States after he is wrongly accused of starting the fire that killed his best friend.,"[53, 9648, 28]",False,./posters/Saboteur_1942.jpg
Tinker Bell,2008-09-11,41.138,en,"Journey into the secret world of Pixie Hollow and hear Tinker Bell speak for the very first time as the astonishing story of Disney's most famous fairy is finally revealed in the all-new motion picture ""Tinker Bell.""","[16, 10751, 12, 14]",False,./posters/Tinker_Bell_2008.jpg
2036: Nexus Dawn,2017-08-30,9.838,en,"This in-world short film takes place in the year 2036 and revolves around Jared Leto’s character, Niander Wallace. In this short, Wallace introduces a new line of “perfected” replicants called the Nexus 9, seeking to get the prohibition on replicants repealed. This no doubt has serious ramifications that will be crucial to the plot of Blade Runner 2049.","[878, 53]",False,./posters/2036:_Nexus_Dawn_2017.jpg
4th Man Out,2015-05-26,8.016,en,"After a night of drinking, Adam Hutcherson stumbles out of the closet to his three straight buddies.  A disruption to their dynamic which they now must try and overcome through alcohol, Tinder dates and forgiveness.","[35, 18]",False,./posters/4th_Man_Out_2015.jpg
Saturn in Opposition,2007-02-23,6.2,it,"This film focuses on contemporary 30- and 40-somethings trying to make sense of their lives in an age in which the old certainties have disappeared. Lorenzo and Davide make their lives together within a circle that includes Antonio and Angelica, married with children; Nerval and her policeman husband.",[18],False,./posters/Saturn_in_Opposition_2007.jpg
Under the Tuscan Sun,2003-09-20,14.762,en,"After a rough divorce, Frances, a 35-year-old professor and writer from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.","[10749, 35]",False,./posters/Under_the_Tuscan_Sun_2003.jpg
Alive,1993-01-15,26.08,en,"The amazing true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.","[12, 18, 36]",False,./posters/Alive_1993.jpg
Return,1975-09-04,5.17,en,"Return is a methodical construction of the approach of an individual towards an unseen goal, which assumes metaphorical significance. Viola moves toward the camera/viewer, pausing every few steps to ring a bell, at which point he is momentarily thrust back to his starting place, and then advanced again. Finally reaching his destination, he is taken through all of the previous stages in a single instant and returned to the source of his journey.",[],False,./posters/Return_1975.jpg
Blended,2014-05-21,56.305,en,"Recently divorced mom Lauren and widowed dad Jim let their friends push them into a blind date, which goes disastrously wrong. Unsurprisingly, neither wants to see the other ever again. However, fate intervenes when both Jim and Lauren, unbeknownst to each other, purchase one-half of the same vacation package at a South African resort for families, during spring break. They and their children are forced to share the same romantic suite and participate in a slew of family activities together.","[35, 10749]",False,./posters/Blended_2014.jpg
21 Jump Street,2012-03-14,41.679,en,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go under cover as high-school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.","[28, 35, 80]",False,./posters/21_Jump_Street_2012.jpg
Tears of the Sun,2003-03-07,37.295,en,"Navy SEAL Lieutenant A.K. Waters and his elite squadron of tactical specialists are forced to choose between their duty and their humanity, between following orders by ignoring the conflict that surrounds them, or finding the courage to follow their conscience and protect a group of innocent refugees. When the democratic government of Nigeria collapses and the country is taken over by a ruthless military dictator, Waters, a fiercely loyal and hardened veteran is dispatched on a routine mission to retrieve a Doctors Without Borders physician.","[10752, 28, 18]",False,./posters/Tears_of_the_Sun_2003.jpg
Manderlay,2005-06-03,7.582,da,"In 1933, after leaving Dogville, Grace Margaret Mulligan sees a slave being punished at a cotton farm called Manderlay. Officially, slavery is illegal and Grace stands up against the farmers. She stays with some gangsters in Manderlay and tries to influence the situation. But when harvest time comes, Grace sees the social and economic reality of Manderlay.",[18],False,./posters/Manderlay_2005.jpg
The X-Files,1998-06-19,16.204,en,"Mulder and Scully, now taken off the FBI's X Files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of Earth.","[9648, 878, 53]",False,./posters/The_X-Files_1998.jpg
Terrifier 3,2024-10-09,273.975,en,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.","[27, 53]",False,./posters/Terrifier_3_2024.jpg
My Spy,2020-01-09,18.712,en,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.","[10751, 28, 35]",False,./posters/My_Spy_2020.jpg
Carrie Pilby,2017-03-31,6.325,en,"Awkward, isolated and disapproving of most of the people around her, a precocious 19-year-old genius is challenged to put her convictions to the test by venturing out on to the NYC dating scene.","[35, 18]",False,./posters/Carrie_Pilby_2017.jpg
Focus,2015-02-25,26.114,en,"Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans.","[10749, 35, 80]",False,./posters/Focus_2015.jpg
Project X,2012-03-01,45.248,en,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",[35],False,./posters/Project_X_2012.jpg
Soul Kitchen,2009-09-09,7.713,de,"In Hamburg, German-Greek chef Zinos unknowingly disturbs the peace in his locals-only restaurant by hiring a more talented chef.","[18, 35]",False,./posters/Soul_Kitchen_2009.jpg
