title,release_date,popularity,original_language,overview,genre_ids,adult,pathPoster
Harakiri,1962-09-15,24.434,ja,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.","[28, 18, 36]",False,./posters/Harakiri_1962.jpg
Howl's Moving Castle,2004-09-09,85.428,ja,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.","[14, 16, 12]",False,./posters/Howl's_Moving_Castle_2004.jpg
Primal: Tales of Savagery,2019-11-21,10.706,en,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.","[28, 12, 16, 18]",False,./posters/Primal:_Tales_of_Savagery_2019.jpg
The Lord of the Rings: The Two Towers,2002-12-18,105.731,en,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.","[12, 14, 28]",False,./posters/The_Lord_of_the_Rings:_The_Two_Towers_2002.jpg
Spider-Man: Into the Spider-Verse,2018-12-06,115.811,en,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.","[16, 28, 12, 878]",False,./posters/Spider-Man:_Into_the_Spider-Verse_2018.jpg
The Empire Strikes Back,1980-05-20,82.446,en,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.","[12, 28, 878]",False,./posters/The_Empire_Strikes_Back_1980.jpg
Gabriel's Inferno: Part II,2020-07-31,8.702,en,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?","[10749, 18]",False,./posters/Gabriel's_Inferno:_Part_II_2020.jpg
A Silent Voice: The Movie,2016-09-17,46.647,ja,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?","[16, 18, 10749]",False,./posters/A_Silent_Voice:_The_Movie_2016.jpg
Hope,2013-10-02,19.462,ko,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",[18],False,./posters/Hope_2013.jpg
The Pianist,2002-09-17,60.731,en,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.","[18, 10752]",False,./posters/The_Pianist_2002.jpg
Gabriel's Inferno: Part III,2020-11-19,29.764,en,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,"[10749, 18]",False,./posters/Gabriel's_Inferno:_Part_III_2020.jpg
Whiplash,2014-10-10,86.435,en,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.","[18, 10402]",False,./posters/Whiplash_2014.jpg
Se7en,1995-09-22,116.402,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","[80, 9648, 53]",False,./posters/Se7en_1995.jpg
Radical,2023-10-19,29.205,es,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",[18],False,./posters/Radical_2023.jpg
Inception,2010-07-15,128.906,en,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","[28, 878, 12]",False,./posters/Inception_2010.jpg
Flow,2024-08-29,400.771,lv,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.","[16, 14, 12]",False,./posters/Flow_2024.jpg
The Quintessential Quintuplets Movie,2022-05-20,31.871,ja,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?","[16, 35, 10749]",False,./posters/The_Quintessential_Quintuplets_Movie_2022.jpg
The Wild Robot,2024-09-12,476.048,en,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","[16, 28, 878, 10751]",False,./posters/The_Wild_Robot_2024.jpg
The Legend of Hei,2019-08-27,14.441,zh,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.","[16, 14, 28]",False,./posters/The_Legend_of_Hei_2019.jpg
Spider-Man: Across the Spider-Verse,2023-05-31,163.742,en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","[16, 28, 12, 878]",False,./posters/Spider-Man:_Across_the_Spider-Verse_2023.jpg
Rear Window,1954-08-01,29.964,en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"[53, 9648]",False,./posters/Rear_Window_1954.jpg
The Silence of the Lambs,1991-02-14,16.036,en,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","[80, 18, 53]",False,./posters/The_Silence_of_the_Lambs_1991.jpg
American History X,1998-07-01,32.572,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",[18],False,./posters/American_History_X_1998.jpg
Dou kyu sei – Classmates,2016-02-20,12.396,ja,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.","[10749, 16]",False,./posters/Dou_kyu_sei_–_Classmates_2016.jpg
High and Low,1963-03-01,18.52,ja,"In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his chauffeur's son is kidnapped by mistake.","[18, 80, 9648]",False,./posters/High_and_Low_1963.jpg
Princess Mononoke,1997-07-12,54.765,ja,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.","[12, 14, 16]",False,./posters/Princess_Mononoke_1997.jpg
Back to the Future,1985-07-03,73.334,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","[12, 35, 878]",False,./posters/Back_to_the_Future_1985.jpg
A Brighter Summer Day,1991-07-27,21.874,zh,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.","[80, 18, 10749]",False,./posters/A_Brighter_Summer_Day_1991.jpg
Dedicated to my ex,2019-11-01,7.719,es,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.","[18, 35]",False,./posters/Dedicated_to_my_ex_2019.jpg
Ikiru,1952-10-09,14.167,ja,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",[18],False,./posters/Ikiru_1952.jpg
Dead Poets Society,1989-06-02,67.166,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",[18],False,./posters/Dead_Poets_Society_1989.jpg
Léon: The Professional,1994-09-14,61.417,fr,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","[80, 18, 28]",False,./posters/Léon:_The_Professional_1994.jpg
Perfect Blue,1998-02-28,43.525,ja,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.","[16, 53]",False,./posters/Perfect_Blue_1998.jpg
The Great Dictator,1940-10-15,24.11,en,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"[35, 10752]",False,./posters/The_Great_Dictator_1940.jpg
Sunset Boulevard,1950-08-10,21.301,en,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,[18],False,./posters/Sunset_Boulevard_1950.jpg
Once Upon a Studio,2023-09-24,24.604,en,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.","[16, 10751, 14, 35]",False,./posters/Once_Upon_a_Studio_2023.jpg
"Josee, the Tiger and the Fish",2020-12-25,21.81,ja,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.","[16, 18, 10749]",False,"./posters/Josee,_the_Tiger_and_the_Fish_2020.jpg"
Hotarubi no Mori e,2011-09-17,0.019,ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...","[10749, 16, 14]",False,./posters/Hotarubi_no_Mori_e_2011.jpg
Once Upon a Time in the West,1968-12-21,63.374,it,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.","[18, 37]",False,./posters/Once_Upon_a_Time_in_the_West_1968.jpg
Neon Genesis Evangelion: The End of Evangelion,1997-07-19,31.045,ja,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity. An alternate ending to the television series ""Neon Genesis Evangelion"", which aired from 1995 to 1996 and whose final two episodes were controversial for their atypically abstract direction.","[16, 878, 28, 18]",False,./posters/Neon_Genesis_Evangelion:_The_End_of_Evangelion_1997.jpg
Given,2020-08-22,11.377,ja,"The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.","[16, 18, 10402, 10749]",False,./posters/Given_2020.jpg
Modern Times,1936-02-05,18.169,en,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..","[35, 18, 10749]",False,./posters/Modern_Times_1936.jpg
